word,galls
아프간,"[20210818_baseball_new10(94.95),20210818_comic_new2(79.03),20210818_drama_new3(68.41),20210818_fantasy_new(54.26),20210818_baseball_ab2(33.62),20210818_stock_new2(24.18),20210818_neostock(21.82),20210818_immovables(18.28),20210818_idolmaster(15.92),20210818_stream(11.80)]"
에코,"[20210818_neostock(345.09),20210818_leagueoflegends4(25.56),20210818_game_mabinogi1(14.91),20210818_smartphone(2.13),20210818_fashion_new1(2.13),20210818_iu_new(2.13),20210818_figureskating_new(2.13),20210818_depression_new1(2.13),20210818_idolmaster(2.13),20210818_giants_new2(2.13)]"
작가,"[20210818_comic_new2(109.35),20210818_fantasy_new(28.88),20210818_typemoon(17.54),20210818_drama_new3(16.51),20210818_touhou(9.28),20210818_idolmaster(7.22),20210818_d_fighter_new2(5.16),20210818_pokemon(3.09),20210818_stream(2.06),20210818_baseball_new10(2.06)]"
주경,[20210818_giants_new2(482.40)]
동희,"[20210818_giants_new2(622.07),20210818_tigers_new(46.25),20210818_sh_new(16.19),20210818_baseball_ab2(16.19),20210818_lgtwins_new(13.88),20210818_skwyverns(11.56),20210818_hanwhaeagles_new(2.31),20210818_doosanbears_new1(2.31),20210818_samsunglions_new(2.31)]"
프랑코,"[20210818_giants_new2(553.05),20210818_sh_new(78.15),20210818_baseball_ab2(15.03),20210818_skwyverns(3.01)]"
주경,[20210818_giants_new2(482.40)]
김원중,"[20210818_giants_new2(258.91),20210818_sh_new(48.05),20210818_baseball_ab2(13.35),20210818_lgtwins_new(8.01),20210818_fashion_new1(5.34),20210818_baseball_new10(2.67)]"
안중,"[20210818_giants_new2(228.43),20210818_sh_new(24.05),20210818_figureskating_new(3.01),20210818_samsunglions_new(3.01)]"
서튼,"[20210818_giants_new2(222.79),20210818_sh_new(3.23),20210818_baseball_ab2(3.23)]"
리포터,"[20210818_giants_new2(187.27),20210818_samsunglions_new(3.23),20210818_doosanbears_new1(3.23)]"
투수,"[20210818_giants_new2(194.90),20210818_lgtwins_new(156.95),20210818_tigers_new(96.59),20210818_samsunglions_new(87.96),20210818_hanwhaeagles_new(82.79),20210818_baseball_ab2(51.74),20210818_sh_new(36.22),20210818_lotto_new2(32.77),20210818_ktwiz(32.77),20210818_doosanbears_new1(31.05)]"
후반기,"[20210818_giants_new2(152.03),20210818_samsunglions_new(75.18),20210818_baseball_ab2(30.07),20210818_lgtwins_new(26.73),20210818_hanwhaeagles_new(23.39),20210818_ktwiz(13.37),20210818_tigers_new(13.37),20210818_skwyverns(11.69),20210818_doosanbears_new1(11.69),20210818_sh_new(11.69)]"
최준용,"[20210818_giants_new2(144.18),20210818_sh_new(3.52)]"
